"X.."	"X.logFC."	"X.logCPM."	"X.LR."	"X.PValue."	"X.FDR."	"Mouse"	"Human"	"Drosophila"	"Aplysia.clifornica"	"Saccoglossus.kowalevskii"	"Cluster"
"PladumEVm042122"	"PladumEVm042122"	1.46454257558992	4.87367318499818	23.4064199791555	1.31140144296194e-06	5.21857118629238e-05	"sp|Q9D1C8|VPS28_MOUSE Vacuolar protein sorting-associated protein 28 homolog OS=Mus musculus OX=10090 GN=Vps28 PE=1 SV=1"	"NP_057292.1 vacuolar protein sorting-associated protein 28 homolog isoform 1 [Homo sapiens]"	"gi|21356833|ref|NP_652053.1| vacuolar protein sorting 28, isoform A [Drosophila melanogaster]"	"XP_012938175.1 vacuolar protein sorting-associated protein 28 homolog [Aplysia californica]"	"."	0
"PladumEVm013987"	"PladumEVm013987"	1.31202860441279	4.31429560425308	23.3577618794695	1.34499675581809e-06	5.32798658180593e-05	"tr|A0A0R4J0I9|A0A0R4J0I9_MOUSE Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus OX=10090 GN=Lrp1 PE=1 SV=1"	"XP_016874792.1 prolow-density lipoprotein receptor-related protein 1 isoform X1 [Homo sapiens]"	"gi|665389369|ref|NP_001284822.1| terribly reduced optic lobes, isoform AS [Drosophila melanogaster]"	"XP_035827354.1 low-density lipoprotein receptor-related protein 2 [Aplysia californica]"	"XP_006820405.1 PREDICTED: low-density lipoprotein receptor-related protein 12-like [Saccoglossus kowalevskii]"	3
"PladumEVm048482"	"PladumEVm048482"	1.53439016950411	4.48749064320099	23.3216192023681	1.37050848403979e-06	5.41676424478124e-05	"."	"."	"."	"."	"."	2
"PladumEVm031346"	"PladumEVm031346"	1.65155594264274	2.26886572780286	23.3003306477259	1.38576180372272e-06	5.46941598550997e-05	"sp|Q99KR3|LACB2_MOUSE Endoribonuclease LACTB2 OS=Mus musculus OX=10090 GN=Lactb2 PE=1 SV=1"	"NP_057111.1 endoribonuclease LACTB2 [Homo sapiens]"	"gi|20129357|ref|NP_609183.1| uncharacterized protein Dmel_CG12375 [Drosophila melanogaster]"	"XP_005108821.1 endoribonuclease LACTB2 [Aplysia californica]"	"XP_006818895.1 PREDICTED: beta-lactamase-like protein 2-like, partial [Saccoglossus kowalevskii]"	3
"PladumEVm033888"	"PladumEVm033888"	1.1615365593784	2.99649199259196	23.2986671348327	1.38696086412371e-06	5.46941598550997e-05	"."	"."	"."	"."	"."	7
"PladumEVm010709"	"PladumEVm010709"	1.19750505618336	6.84477537476744	23.2253017115952	1.44089068207936e-06	5.67567976788848e-05	"tr|K3W4L3|K3W4L3_MOUSE Prosaposin OS=Mus musculus OX=10090 GN=Psap PE=1 SV=1"	"NP_002769.1 prosaposin isoform a preproprotein [Homo sapiens]"	"gi|17864128|ref|NP_524597.1| Saposin-related, isoform A [Drosophila melanogaster]"	"XP_035826565.1 uncharacterized protein LOC101860584 [Aplysia californica]"	"XP_006811583.1 PREDICTED: prosaposin-like [Saccoglossus kowalevskii]"	0
"PladumEVm027492"	"PladumEVm027492"	-1.85562027345116	7.00386715067409	23.2050634280363	1.45613425842768e-06	5.72282056863946e-05	"."	"."	"."	"."	"."	1
"PladumEVm022121"	"PladumEVm022121"	-1.60673030901116	2.16556917956514	23.1797866774993	1.47540020145928e-06	5.79202333020064e-05	"."	"."	"."	"."	"."	1
"PladumEVm004885"	"PladumEVm004885"	1.12013151906584	5.59480426931617	23.11974005307	1.52219913476685e-06	5.95566803691142e-05	"sp|Q9JIF7|COPB_MOUSE Coatomer subunit beta OS=Mus musculus OX=10090 GN=Copb1 PE=1 SV=1"	"NP_057535.1 coatomer subunit beta [Homo sapiens]"	"gi|17647193|ref|NP_523400.1| coat protein (coatomer) beta [Drosophila melanogaster]"	"XP_005097165.1 coatomer subunit beta [Aplysia californica]"	"XP_006812914.1 PREDICTED: LOW QUALITY PROTEIN: coatomer subunit beta-like [Saccoglossus kowalevskii]"	0
"PladumEVm014041"	"PladumEVm014041"	1.37601731517886	3.9744106169235	23.0938704447685	1.54281750180373e-06	6.02958620755265e-05	"sp|Q8VCW8|ACSF2_MOUSE Medium-chain acyl-CoA ligase ACSF2, mitochondrial OS=Mus musculus OX=10090 GN=Acsf2 PE=1 SV=1"	"NP_079425.3 medium-chain acyl-CoA ligase ACSF2, mitochondrial isoform 2 precursor [Homo sapiens]"	"gi|21355181|ref|NP_651221.1| CG6178 [Drosophila melanogaster]"	"XP_012942882.1 probable 4-coumarate--CoA ligase 5 [Aplysia californica]"	"XP_006821914.1 PREDICTED: 4-coumarate--CoA ligase 1-like isoform X2 [Saccoglossus kowalevskii]"	0
"PladumEVm024906"	"PladumEVm024906"	1.60823913938149	2.489099029188	23.0558365877664	1.57364067386261e-06	6.12265384232579e-05	"."	"."	"."	"XP_005107031.1 uncharacterized protein LOC101851293 [Aplysia californica]"	"XP_002733363.1 PREDICTED: uncharacterized protein LOC100373710 [Saccoglossus kowalevskii]"	0
"PladumEVm110054"	"PladumEVm110054"	-1.71516763910022	4.10096824079924	23.0140169260072	1.60824536812196e-06	6.21576160584217e-05	"."	"."	"."	"NP_001191480.1 abdominal ganglion neuropeptides L5-67 precursor [Aplysia californica]"	"."	0
"PladumEVm044459"	"PladumEVm044459"	1.52825516233089	5.07549771570422	23.0088074679508	1.61260918422668e-06	6.22574058427581e-05	"sp|Q91V37|VATO_MOUSE V-type proton ATPase 21 kDa proteolipid subunit OS=Mus musculus OX=10090 GN=Atp6v0b PE=1 SV=1"	"NP_004038.1 V-type proton ATPase 21 kDa proteolipid subunit isoform 1 [Homo sapiens]"	"gi|24646955|ref|NP_652010.1| vacuolar H[+] ATPase PPA1 subunit 1, isoform A [Drosophila melanogaster]"	"XP_005102105.1 V-type proton ATPase 21 kDa proteolipid subunit [Aplysia californica]"	"XP_006816708.1 PREDICTED: V-type proton ATPase 21 kDa proteolipid subunit-like [Saccoglossus kowalevskii]"	0
"PladumEVm022051"	"PladumEVm022051"	1.20125185215361	3.01833557043391	22.9443171642383	1.66762472779136e-06	6.43103094528725e-05	"sp|Q9DBE8|ALG2_MOUSE Alpha-1,3/1,6-mannosyltransferase ALG2 OS=Mus musculus OX=10090 GN=Alg2 PE=1 SV=2"	"NP_149078.1 alpha-1,3/1,6-mannosyltransferase ALG2 [Homo sapiens]"	"gi|21357469|ref|NP_647772.1| CG1291 [Drosophila melanogaster]"	"XP_005105163.1 alpha-1,3/1,6-mannosyltransferase ALG2 [Aplysia californica]"	"XP_002740170.1 PREDICTED: alpha-1,3/1,6-mannosyltransferase ALG2-like [Saccoglossus kowalevskii]"	0
"PladumEVm020236"	"PladumEVm020236"	1.50661906623834	2.39070411433733	22.9299406499818	1.68014347592395e-06	6.47216459815952e-05	"sp|Q8K0B3|LRC66_MOUSE Leucine-rich repeat-containing protein 66 OS=Mus musculus OX=10090 GN=Lrrc66 PE=1 SV=1"	"NP_612564.1 toll-like receptor 4 isoform A precursor [Homo sapiens]"	"gi|24664561|ref|NP_524757.1| tollo [Drosophila melanogaster]"	"XP_012946932.2 toll-like receptor 6 [Aplysia californica]"	"XP_006825335.1 PREDICTED: leucine-rich repeat transmembrane neuronal protein 2-like [Saccoglossus kowalevskii]"	6
"PladumEVm008029"	"PladumEVm008029"	1.29286147213126	2.63416676930265	22.8147040200889	1.78395593168192e-06	6.84367455942627e-05	"."	"."	"."	"."	"."	2
"PladumEVm016950"	"PladumEVm016950"	1.33416995189675	2.84559790295823	22.7039991936832	1.88974161742393e-06	7.21592157062017e-05	"sp|Q8BS35|ALKMO_MOUSE Alkylglycerol monooxygenase OS=Mus musculus OX=10090 GN=Agmo PE=1 SV=1"	"XP_006715794.1 alkylglycerol monooxygenase isoform X4 [Homo sapiens]"	"."	"XP_005104093.2 alkylglycerol monooxygenase [Aplysia californica]"	"XP_006813276.1 PREDICTED: alkylglycerol monooxygenase-like [Saccoglossus kowalevskii]"	3
"PladumEVm035695"	"PladumEVm035695"	1.36395748703735	2.16741181961288	22.6671598127253	1.9263215725862e-06	7.34757089788093e-05	"."	"."	"."	"XP_005092832.1 crystallin J1C [Aplysia californica]"	"."	1
"PladumEVm108403"	"PladumEVm108403"	1.12464686184911	5.5301660997154	22.6400099543922	1.95373411761125e-06	7.44400396240127e-05	"sp|Q9JLJ1|SELK_MOUSE Selenoprotein K OS=Mus musculus OX=10090 GN=Selenok PE=1 SV=3"	"NP_067060.2 selenoprotein K [Homo sapiens]"	"."	"XP_005105508.1 selenoprotein K [Aplysia californica]"	"XP_006811289.1 PREDICTED: selenoprotein K-like isoform X2 [Saccoglossus kowalevskii]"	0
"PladumEVm047271"	"PladumEVm047271"	1.61361227089231	4.64210124439841	22.6348151384132	1.95902362584667e-06	7.4560268478711e-05	"sp|P24369|PPIB_MOUSE Peptidyl-prolyl cis-trans isomerase B OS=Mus musculus OX=10090 GN=Ppib PE=1 SV=2"	"NP_000933.1 peptidyl-prolyl cis-trans isomerase B precursor [Homo sapiens]"	"gi|20130249|ref|NP_611695.1| CG2852, isoform A [Drosophila melanogaster]"	"XP_005104908.1 peptidyl-prolyl cis-trans isomerase B [Aplysia californica]"	"XP_002735150.1 PREDICTED: peptidyl-prolyl cis-trans isomerase B-like [Saccoglossus kowalevskii]"	1
"PladumEVm017664"	"PladumEVm017664"	1.19372461601298	5.23609581810229	22.5189005532131	2.08086100149923e-06	7.89394164292959e-05	"sp|Q9QZI8|SERC1_MOUSE Serine incorporator 1 OS=Mus musculus OX=10090 GN=Serinc1 PE=1 SV=1"	"NP_945179.1 serine incorporator 3 precursor [Homo sapiens]"	"gi|21357219|ref|NP_648893.1| TMS1, isoform A [Drosophila melanogaster]"	"XP_005094126.1 serine incorporator 1 isoform X5 [Aplysia californica]"	"XP_002739996.1 PREDICTED: serine incorporator 1-like [Saccoglossus kowalevskii]"	0
"PladumEVm140007"	"PladumEVm140007"	-1.21688157709392	2.94069471199875	22.420549362287	2.1901810824622e-06	8.2727283070429e-05	"."	"."	"."	"."	"."	0
"PladumEVm013061"	"PladumEVm013061"	1.36510749494165	3.86671648598515	22.2629830302522	2.37745827504246e-06	8.93182953459229e-05	"sp|D3Z7P3|GLSK_MOUSE Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1"	"NP_055720.3 glutaminase kidney isoform, mitochondrial isoform 1 precursor [Homo sapiens]"	"gi|24653164|ref|NP_725216.1| glutaminase, isoform C [Drosophila melanogaster]"	"XP_012940993.1 glutaminase kidney isoform, mitochondrial [Aplysia californica]"	"XP_006820375.1 PREDICTED: glutaminase kidney isoform, mitochondrial-like [Saccoglossus kowalevskii]"	0
"PladumEVm040738"	"PladumEVm040738"	1.5493437985157	2.75215356833656	22.2280770890229	2.42107354900494e-06	9.08591715667923e-05	"."	"NP_001035930.1 prosaposin isoform b preproprotein [Homo sapiens]"	"gi|17864128|ref|NP_524597.1| Saposin-related, isoform A [Drosophila melanogaster]"	"XP_035826565.1 uncharacterized protein LOC101860584 [Aplysia californica]"	"XP_006811583.1 PREDICTED: prosaposin-like [Saccoglossus kowalevskii]"	8
"PladumEVm022261"	"PladumEVm022261"	1.65217920040749	0.930577150553113	22.0136895674164	2.70712722494744e-06	0.00010087453437493	"sp|Q99JA4|CLTR1_MOUSE Cysteinyl leukotriene receptor 1 OS=Mus musculus OX=10090 GN=Cysltr1 PE=1 SV=1"	"NP_006630.1 cysteinyl leukotriene receptor 1 [Homo sapiens]"	"gi|161082698|ref|NP_001027122.2| CNMamide receptor [Drosophila melanogaster]"	"XP_005109614.3 FMRFamide receptor [Aplysia californica]"	"XP_002730943.1 PREDICTED: thyrotropin-releasing hormone receptor [Saccoglossus kowalevskii]"	8
"PladumEVm018175"	"PladumEVm018175"	-1.83423852228189	1.96446182146883	21.9632326238021	2.77924005916082e-06	0.000103192208742848	"tr|E9Q8K5|E9Q8K5_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1"	"NP_004524.3 myosin-binding protein C, fast-type [Homo sapiens]"	"."	"XP_035828899.1 roundabout homolog 2 [Aplysia californica]"	"XP_002733470.1 PREDICTED: hemicentin-1-like [Saccoglossus kowalevskii]"	3
"PladumEVm023496"	"PladumEVm023496"	1.17270378539785	4.8336797429618	21.889485374638	2.88812085122969e-06	0.000106894125446095	"."	"."	"."	"XP_035826298.1 transmembrane protein 179B [Aplysia californica]"	"XP_002741359.1 PREDICTED: uncharacterized protein LOC100367187 [Saccoglossus kowalevskii]"	2
"PladumEVm031794"	"PladumEVm031794"	1.17303307592751	2.5978704026864	21.7666782829548	3.07901511896012e-06	0.000113478596246147	"sp|Q6NZB0|DNJC8_MOUSE DnaJ homolog subfamily C member 8 OS=Mus musculus OX=10090 GN=Dnajc8 PE=1 SV=2"	"NP_055095.2 dnaJ homolog subfamily C member 8 [Homo sapiens]"	"gi|21355117|ref|NP_651185.1| uncharacterized protein Dmel_CG10375, isoform A [Drosophila melanogaster]"	"XP_005097157.1 dnaJ homolog subfamily C member 8 [Aplysia californica]"	"XP_006818002.1 PREDICTED: dnaJ homolog subfamily C member 8-like [Saccoglossus kowalevskii]"	3
"PladumEVm058459"	"PladumEVm058459"	1.20845144470651	4.23465655542268	21.6685113844441	3.24067466729059e-06	0.000118934802731582	"."	"."	"."	"."	"."	2
"PladumEVm013578"	"PladumEVm013578"	1.66392118526629	1.68687678652907	21.5135546908505	3.51336505112384e-06	0.000127735131655792	"tr|Q3U4X8|Q3U4X8_MOUSE DNA ligase OS=Mus musculus OX=10090 GN=Lig1 PE=1 SV=1"	"."	"."	"XP_005100834.1 uncharacterized protein LOC101848532 [Aplysia californica]"	"XP_002737951.1 PREDICTED: uncharacterized protein LOC100366927 isoform X1 [Saccoglossus kowalevskii]"	4
"PladumEVm032160"	"PladumEVm032160"	1.70889507214135	2.78645032100785	21.324026222856	3.87840006205391e-06	0.000139987003892667	"tr|Q3TAN8|Q3TAN8_MOUSE Very-long-chain enoyl-CoA reductase OS=Mus musculus OX=10090 GN=Tecr PE=1 SV=1"	"XP_011526744.1 very-long-chain enoyl-CoA reductase isoform X10 [Homo sapiens]"	"gi|24657023|ref|NP_647836.2| Sc2 [Drosophila melanogaster]"	"XP_005107475.1 very-long-chain enoyl-CoA reductase [Aplysia californica]"	"XP_006823415.1 PREDICTED: very-long-chain enoyl-CoA reductase-like [Saccoglossus kowalevskii]"	8
"PladumEVm040429"	"PladumEVm040429"	1.31062047165034	7.09257170435848	21.2995403169728	3.92825686134161e-06	0.000141583714583719	"sp|O35426|XBP1_MOUSE X-box-binding protein 1 OS=Mus musculus OX=10090 GN=Xbp1 PE=1 SV=2"	"NP_005071.2 X-box-binding protein 1 isoform XBP1(U) [Homo sapiens]"	"gi|22026825|ref|NP_524722.2| X box binding protein-1, isoform D [Drosophila melanogaster]"	"XP_005102484.1 X-box-binding protein 1 [Aplysia californica]"	"NP_001161680.1 X-box binding protein [Saccoglossus kowalevskii]"	8
"PladumEVm012935"	"PladumEVm012935"	1.22093854098559	2.43734196470758	21.2677251529823	3.99399906656306e-06	0.000143714040562973	"sp|Q8R1X6|SPART_MOUSE Spartin OS=Mus musculus OX=10090 GN=Spart PE=1 SV=1"	"XP_024305102.1 spartin isoform X1 [Homo sapiens]"	"gi|24644051|ref|NP_649485.1| spartin, isoform A [Drosophila melanogaster]"	"XP_005091171.1 spartin [Aplysia californica]"	"XP_006815587.1 PREDICTED: spartin-like [Saccoglossus kowalevskii]"	0
"PladumEVm032052"	"PladumEVm032052"	1.34227003425825	4.18013818102943	21.246988801078	4.03744143665105e-06	0.000144978588237565	"sp|Q9CRA4|MSMO1_MOUSE Methylsterol monooxygenase 1 OS=Mus musculus OX=10090 GN=Msmo1 PE=1 SV=1"	"XP_005263233.1 methylsterol monooxygenase 1 isoform X1 [Homo sapiens]"	"gi|281360810|ref|NP_001162739.1| CG1998, isoform B [Drosophila melanogaster]"	"XP_005100655.1 methylsterol monooxygenase 1 [Aplysia californica]"	"XP_002741042.1 PREDICTED: methylsterol monooxygenase 1-like, partial [Saccoglossus kowalevskii]"	10
"PladumEVm040605"	"PladumEVm040605"	1.22530765889265	4.39697646077001	21.2442607962053	4.04319175228283e-06	0.000145036012970236	"sp|Q62159|RHOC_MOUSE Rho-related GTP-binding protein RhoC OS=Mus musculus OX=10090 GN=Rhoc PE=1 SV=2"	"NP_786886.1 rho-related GTP-binding protein RhoC precursor [Homo sapiens]"	"gi|17137100|ref|NP_477098.1| Rho1, isoform A [Drosophila melanogaster]"	"NP_001191481.1 ras-like GTP-binding protein RHO [Aplysia californica]"	"XP_002741600.1 PREDICTED: transforming protein RhoA-like [Saccoglossus kowalevskii]"	6
"PladumEVm064871"	"PladumEVm064871"	1.09707885808619	5.74023271722976	21.2260788637744	4.08172763775326e-06	0.000146268186600473	"sp|P46414|CDN1B_MOUSE Cyclin-dependent kinase inhibitor 1B OS=Mus musculus OX=10090 GN=Cdkn1b PE=1 SV=2"	"NP_004055.1 cyclin-dependent kinase inhibitor 1B [Homo sapiens]"	"."	"."	"XP_006818463.1 PREDICTED: cyclin dependent kinase inhibitor 1C-like protein isoform X2 [Saccoglossus kowalevskii]"	2
"PladumEVm011217"	"PladumEVm011217"	1.2848136058627	2.10793785435245	21.2008951917036	4.13571300619373e-06	0.000147899362050566	"sp|P54729|NUB1_MOUSE NEDD8 ultimate buster 1 OS=Mus musculus OX=10090 GN=Nub1 PE=1 SV=2"	"XP_016867793.1 NEDD8 ultimate buster 1 isoform X1 [Homo sapiens]"	"gi|24643638|ref|NP_728390.1| uncharacterized protein Dmel_CG15445, isoform A [Drosophila melanogaster]"	"XP_035829460.1 NEDD8 ultimate buster 1 [Aplysia californica]"	"XP_006821424.1 PREDICTED: NEDD8 ultimate buster 1-like [Saccoglossus kowalevskii]"	0
"PladumEVm016827"	"PladumEVm016827"	1.29618610122159	2.49629773663917	21.1561638405194	4.23337484494772e-06	0.000151082618700335	"sp|Q9CQ26|STABP_MOUSE STAM-binding protein OS=Mus musculus OX=10090 GN=Stambp PE=1 SV=1"	"NP_001340904.1 STAM-binding protein isoform 3 [Homo sapiens]"	"gi|24651395|ref|NP_651796.1| CG2224, isoform A [Drosophila melanogaster]"	"XP_005092531.1 STAM-binding protein [Aplysia californica]"	"XP_002741913.1 PREDICTED: STAM-binding protein-like A-like [Saccoglossus kowalevskii]"	0
"PladumEVm118967"	"PladumEVm118967"	1.37807983510679	5.29575490369825	21.1282561325642	4.29547466740917e-06	0.000152946701864491	"tr|Q8CCS7|Q8CCS7_MOUSE Calretinin OS=Mus musculus OX=10090 GN=Calb2 PE=1 SV=1"	"NP_009019.1 calretinin isoform 22k [Homo sapiens]"	"."	"XP_005110447.1 calcyphosin-like protein isoform X1 [Aplysia californica]"	"XP_006821623.1 PREDICTED: calmodulin-like [Saccoglossus kowalevskii]"	1
"PladumEVm039204"	"PladumEVm039204"	1.57049183930228	2.81738356567864	21.1268001149393	4.29873955267554e-06	0.000152946701864491	"."	"."	"."	"."	"."	8
"PladumEVm049596"	"PladumEVm049596"	1.56329468550694	3.0546651916635	21.093539944415	4.37400211607232e-06	0.000155135652391414	"."	"."	"."	"."	"."	8
"PladumEVm026969"	"PladumEVm026969"	1.49037503685364	4.3679375980921	21.0917791298116	4.37802321926599e-06	0.000155135652391414	"sp|O54984|GET3_MOUSE ATPase GET3 OS=Mus musculus OX=10090 GN=Get3 PE=1 SV=2"	"NP_004308.2 ATPase GET3 [Homo sapiens]"	"gi|24586297|ref|NP_610296.2| CG1598 [Drosophila melanogaster]"	"XP_005090133.2 ATPase ASNA1 homolog [Aplysia californica]"	"XP_006825619.1 PREDICTED: LOW QUALITY PROTEIN: ATPase ASNA1 homolog [Saccoglossus kowalevskii]"	0
"PladumEVm026185"	"PladumEVm026185"	-1.18641507005664	5.69851596138245	21.0662612095795	4.4367156782332e-06	0.000156738532944176	"sp|Q3UST5|CP089_MOUSE UPF0764 protein C16orf89 homolog OS=Mus musculus OX=10090 PE=2 SV=2"	"NP_001091984.2 UPF0764 protein C16orf89 isoform 2 precursor [Homo sapiens]"	"gi|281363481|ref|NP_725520.3| CG8401 [Drosophila melanogaster]"	"XP_005094765.2 UPF0764 protein C16orf89 homolog [Aplysia californica]"	"XP_006824809.1 PREDICTED: UPF0764 protein C16orf89 homolog [Saccoglossus kowalevskii]"	3
"PladumEVm018802"	"PladumEVm018802"	1.40457749377997	1.96111686298965	21.0634611673201	4.44320379865504e-06	0.000156809189415362	"."	"."	"."	"."	"."	1
"PladumEVm056622"	"PladumEVm056622"	-1.63060071717557	1.81640220332685	21.0415015819492	4.49441874399129e-06	0.000158296871468056	"sp|Q61140|BCAR1_MOUSE Breast cancer anti-estrogen resistance protein 1 OS=Mus musculus OX=10090 GN=Bcar1 PE=1 SV=2"	"."	"."	"XP_035826996.1 breast cancer anti-estrogen resistance protein 1 [Aplysia californica]"	"XP_006811766.1 PREDICTED: breast cancer anti-estrogen resistance protein 1-like isoform X2 [Saccoglossus kowalevskii]"	6
"PladumEVm034520"	"PladumEVm034520"	1.33130926879356	2.55050204264898	20.9400066772547	4.73893475285431e-06	0.000166405669678369	"sp|Q61805|LBP_MOUSE Lipopolysaccharide-binding protein OS=Mus musculus OX=10090 GN=Lbp PE=1 SV=2"	"NP_001716.3 bactericidal permeability-increasing protein precursor [Homo sapiens]"	"."	"XP_005112375.2 bactericidal permeability-increasing protein [Aplysia californica]"	"XP_006812152.1 PREDICTED: lipopolysaccharide-binding protein-like [Saccoglossus kowalevskii]"	8
"PladumEVm000361"	"PladumEVm000361"	1.20427451433641	3.09338554534685	20.8432138285932	4.98455184526798e-06	0.000174679294806237	"sp|P97499|TEP1_MOUSE Telomerase protein component 1 OS=Mus musculus OX=10090 GN=Tep1 PE=1 SV=1"	"XP_005268084.1 telomerase protein component 1 isoform X1 [Homo sapiens]"	"gi|24654584|ref|NP_611261.1| uncharacterized protein Dmel_CG10931 [Drosophila melanogaster]"	"XP_035824561.1 telomerase protein component 1 [Aplysia californica]"	"XP_006813563.1 PREDICTED: telomerase protein component 1-like, partial [Saccoglossus kowalevskii]"	0
"PladumEVm023127"	"PladumEVm023127"	1.08618815368841	4.20341649669979	20.814725413601	5.05924748033792e-06	0.000176941989705232	"sp|Q9Z1G3|VATC1_MOUSE V-type proton ATPase subunit C 1 OS=Mus musculus OX=10090 GN=Atp6v1c1 PE=1 SV=4"	"NP_001686.1 V-type proton ATPase subunit C 1 [Homo sapiens]"	"gi|17137392|ref|NP_477266.1| vacuolar H[+] ATPase 44kD subunit, isoform A [Drosophila melanogaster]"	"XP_005098194.1 V-type proton ATPase subunit C 1-A [Aplysia californica]"	"XP_002733333.1 PREDICTED: V-type proton ATPase subunit C 1-A-like [Saccoglossus kowalevskii]"	0
"PladumEVm026089"	"PladumEVm026089"	1.52128471806541	3.09727708057168	20.6510790150739	5.51061222118807e-06	0.000190834135572105	"sp|Q9ER41|TOR1B_MOUSE Torsin-1B OS=Mus musculus OX=10090 GN=Tor1b PE=1 SV=2"	"NP_055321.1 torsin-1B isoform 1 precursor [Homo sapiens]"	"gi|18859501|ref|NP_572178.1| torsin, isoform A [Drosophila melanogaster]"	"XP_005104539.1 torsin-1A [Aplysia californica]"	"XP_002742201.1 PREDICTED: torsin-1B-like [Saccoglossus kowalevskii]"	0
"PladumEVm038327"	"PladumEVm038327"	1.32966087075866	2.3509170644977	20.6170951734383	5.60929936803316e-06	0.000194042881801694	"sp|Q9D4F2|PLPP6_MOUSE Phospholipid phosphatase 6 OS=Mus musculus OX=10090 GN=Plpp6 PE=1 SV=1"	"NP_982278.3 phospholipid phosphatase 6 [Homo sapiens]"	"gi|24583289|ref|NP_723543.1| uncharacterized protein Dmel_CG31717, isoform A [Drosophila melanogaster]"	"XP_005104957.1 phospholipid phosphatase 6 [Aplysia californica]"	"XP_002740908.1 PREDICTED: presqualene diphosphate phosphatase-like [Saccoglossus kowalevskii]"	1
"PladumEVm019715"	"PladumEVm019715"	1.15440223991341	5.45822908727794	20.5993346327972	5.6615787721455e-06	0.000195078797554232	"sp|Q61827|MAFK_MOUSE Transcription factor MafK OS=Mus musculus OX=10090 GN=Mafk PE=1 SV=1"	"XP_006715836.1 transcription factor MafK isoform X1 [Homo sapiens]"	"gi|665402313|ref|NP_001286639.1| maf-S, isoform B [Drosophila melanogaster]"	"XP_005096589.1 transcription factor MafF isoform X1 [Aplysia californica]"	"XP_002732304.1 PREDICTED: transcription factor MafK-like [Saccoglossus kowalevskii]"	8
"PladumEVm099143"	"PladumEVm099143"	-1.56116636837798	6.4915358712752	20.5927775268399	5.68100344427726e-06	0.00019555525058089	"."	"."	"."	"."	"."	1
"PladumEVm058472"	"PladumEVm058472"	1.48657337370971	3.43804754156163	20.5773865059432	5.7268607580997e-06	0.000196643299914118	"sp|Q6P8J2|SAT2_MOUSE Thialysine N-epsilon-acetyltransferase OS=Mus musculus OX=10090 GN=Sat2 PE=1 SV=1"	"NP_597998.1 diamine acetyltransferase 2 isoform 3 [Homo sapiens]"	"gi|24647013|ref|NP_650430.1| CG4210 [Drosophila melanogaster]"	"XP_005099202.1 diamine acetyltransferase 2-like [Aplysia californica]"	"XP_006813022.1 PREDICTED: uncharacterized protein LOC102804803 [Saccoglossus kowalevskii]"	1
"PladumEVm039061"	"PladumEVm039061"	1.28385394121419	3.39921658530242	20.5726014151159	5.74119343585185e-06	0.000196851381212196	"sp|Q6P6M5|PX11C_MOUSE Peroxisomal membrane protein 11C OS=Mus musculus OX=10090 GN=Pex11g PE=1 SV=2"	"NP_542393.1 peroxisomal membrane protein 11C isoform 1 [Homo sapiens]"	"gi|28571837|ref|NP_651137.3| uncharacterized protein Dmel_CG13827, isoform A [Drosophila melanogaster]"	"XP_005109680.1 peroxisomal membrane protein 11C [Aplysia californica]"	"XP_006821413.1 PREDICTED: peroxisomal membrane protein 11C-like [Saccoglossus kowalevskii]"	3
"PladumEVm016984"	"PladumEVm016984"	1.21070411842447	7.11825513055602	20.5525502417869	5.80164485478839e-06	0.000198729087824952	"sp|Q9D1A2|CNDP2_MOUSE Cytosolic non-specific dipeptidase OS=Mus musculus OX=10090 GN=Cndp2 PE=1 SV=1"	"NP_060705.2 cytosolic non-specific dipeptidase isoform 1 [Homo sapiens]"	"gi|24585880|ref|NP_610181.2| uncharacterized protein Dmel_CG17337, isoform A [Drosophila melanogaster]"	"XP_005092269.1 cytosolic non-specific dipeptidase isoform X1 [Aplysia californica]"	"XP_002730975.2 PREDICTED: cytosolic non-specific dipeptidase-like, partial [Saccoglossus kowalevskii]"	0
"PladumEVm060070"	"PladumEVm060070"	1.24821664089974	3.72375268012262	20.5410181851487	5.83670131525018e-06	0.000199681024979197	"sp|P0DP27|CALM2_MOUSE Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1"	"NP_008819.1 calmodulin-1 isoform 2 [Homo sapiens]"	"gi|17647231|ref|NP_523710.1| calmodulin, isoform A [Drosophila melanogaster]"	"XP_012938697.1 calmodulin isoform X1 [Aplysia californica]"	"XP_002735410.2 PREDICTED: calmodulin-like, partial [Saccoglossus kowalevskii]"	5
"PladumEVm011949"	"PladumEVm011949"	1.18448149667697	3.65188635554219	20.5274588685838	5.8781925388174e-06	0.000200542045119176	"tr|A0A2K6EDK3|A0A2K6EDK3_MOUSE NudC domain-containing protein 1 OS=Mus musculus OX=10090 GN=Nudcd1 PE=1 SV=1"	"NP_116258.2 nudC domain-containing protein 1 isoform 1 [Homo sapiens]"	"gi|24641423|ref|NP_572755.1| uncharacterized protein Dmel_CG10347, isoform A [Drosophila melanogaster]"	"XP_005100805.2 nudC domain-containing protein 1 [Aplysia californica]"	"XP_002732294.1 PREDICTED: nudC domain-containing protein 1-like, partial [Saccoglossus kowalevskii]"	0
